Municipality,Latitude,Longitude
L'Île-Saint-Amour,46.07,-73.13
L'Île-Sainte-Thérèse,45.37,-73.25
L'Île-Saint-Régis,45.01,-74.63
L'Île-Siscoe,48.14,-77.87
Lillies,44.57,-75.82
Lillooet 1,50.67,-121.95
Lillooet 1A,50.72,-121.95
Lily Oak,44.41,-80.71
Lilydale,44.39,-64.34
Limberlost Lodge,45.39,-79
Limbour,45.49,-75.75
Lime Hill,45.76,-61.14
Lime Lake,44.39,-77.14
Limehouse,43.63,-79.97
Limekiln,46.26,-66.77
Limerock,45.54,-62.84
Limestone,46.475,-67.69
Limestone Generating Station,56.5,-94.1
L'Immaculée-Conception,47.95,-67.13
Limoilou,46.83,-71.22
Linacre,50.48,-109.63
Linacy,45.59,-62.59
Lincoln Heights,45.36,-75.78
Lincoln Park,49.28,-122.75
Lincolnville,45.51,-61.54
Lincolnville,44.01,-79.23
Lind,43.24,-81.14
Lindbergh,53.88,-110.67
Lindell Beach,49.03,-122.01
Linden Beach,42.02,-82.75
Linden Valley,44.36,-78.85
Lindenlea,45.44,-75.67
Lindenwood,44.68,-80.98
Lindsay Lake,45.04,-63.01
Lindys,45.8,-65.3
Lineboro,45,-72.17
Lingan,46.23,-60.06
Lingan Road,46.18,-60.13
Lingman Lake,53.85,-92.89
Lingwick,45.58,-71.33
Linkletter,46.4,-63.83
Links Mills,44.22,-76.76
Linton,43.95,-79.66
Linton Corner,46.88,-67.42
Linwood Station,45.62,-61.57
Lipp's Beach,50.93,-105.17
Lipsett,52.78,-104.68
Lisbon,43.46,-80.78
Liscomb,45.02,-61.99
Liscomb Mills,45.01,-62.09
Lisgar,43.59,-79.78
Lisgar Station,45.64,-72.28
Lish-Leesh-Tum 17,50.42,-121.33
Lisieux,49.27,-105.97
L'Isle-aux-Allumettes,45.91,-77.06
L'Isle-aux-Coudres,47.4,-70.38
L'Isle-aux-Grues,47.06,-70.54
L'Isle-Verte-Ouest,48,-69.35
Lismore,45.7,-62.26
Lisson Settlement,45.61,-65.41
Lister,49.05,-116.46
Listerville,46.57,-67.77
Listuguj,48.06,-66.75
Litchfield,44.77,-65.6
Litchfield,45.75,-76.58
Little Anse,45.49,-60.93
Little Aylmer,42.81,-80.98
Little Barasway,47.17,-54.04
Little Bartibog,47.12,-65.44
Little Bass River,45.39,-63.8
Little Bay,49.59,-55.95
Little Bay East,47.55,-54.86
Little Bay Islands,49.64,-55.79
Little Beach,45.37,-65.47
Little Black Bear 84,50.99,-103.35
Little Black Bear 84SC,51.03,-103.42
Little Bone 74B,51.02,-102.45
Little Branch,47,-65.2
Little Bras d'Or,46.23,-60.29
Little Brockville,44.58,-76.14
Little Brook,44.3,-66.12
Little Brook Station,44.28,-66.09
Little Buffalo,56.43,-116.1
Little Burnt Bay,49.33,-55.08
Little Dover,46,-64.63
Little Dyke,45.38,-63.55
Little Fishing Lake,53.85,-109.56
Little Forks,45.7,-64.14
Little Gaspereau,47.55,-64.94
Little Germany,44.305,-79.255
Little Grand Rapids 14,52,-95.41
Little Harbour,49.38,-56.09
Little Harbour,44.9125,-62.79
Little Heart's Ease,48,-53.69
Little Hills 158,55.05,-105.42
Little Hills 158A,55.04,-105.45
Little Hills 158B,55.02,-105.42
Little Island Cove,47.42,-53.55
Little Judique,45.94,-61.48
Little Lake,43.915,-79.955
Little Lepreau,45.13,-66.45
Little Liscomb,45.02,-61.97
Little Long Rapids,50,-82.16
Little Longlac,49.69,-86.96
Little Lorraine,45.95,-59.86
Little Narrows,45.99,-60.98
Little Pine 116,52.72,-108.22
Little Pond,46.27,-60.27
Little Port Elgin,44.88,-81.04
Little Port L'Hebert,43.77,-64.95
Little Quirpon,51.57,-55.44
Little Rapids,46.3,-83.54
Little Red River 106C,53.5,-105.95
Little Red River 106D,53.55,-106.05
Little Ridge,45.64,-64.74
Little River,49.73,-124.91
Little River,45.89,-64.97
Little River,45.55,-63.5
Little River Harbour,43.73,-66.03
Little River Lake,44.97,-64.46
Little Salmonier,47.06,-55.17
Little Saskatchewan,51.68,-98.56
Little Saskatchewan 48,51.68,-98.57
Little Saskatchewan 48B,51.65,-98.4
Little Shemogue,46.11,-64.02
Little Springs 18,51.85,-122.08
Little Springs 8,51.85,-122.08
Little Swan River,52.4,-102.16
Little Tancook,44.47,-64.13
Little Tracadie,47.52,-64.94
Littles Corners,43.34,-80.27
Littlewood,42.84,-81.31
Lively,46.43,-81.14
Living Springs,43.75,-80.4
Livingstone Cove,45.86,-61.97
Livingstone Creek,46.26,-83.45
Lizotte,48.1,-72.17
Lloyd,45.15,-76.32
Lloydtown,43.99,-79.69
Lobo,43,-81.42
Lobster Cove,49.61,-57.95
Lobstick Settlement,54.01,-112.6
Loch Broom,45.65,-62.74
Loch Katrine,45.43,-61.93
Loch Lomond,45.35,-65.86
Loch Lomond,45.76,-60.56
Loch Woods,50.74,-96.98
Lochaber,45.41,-62.02
Lochaber,45.6,-75.26
Lochaber Mines,45,-62.47
Lochaber-Partie-Ouest,45.61,-75.3
Lochalsh,46.18,-82.955
Lochiel,45.37,-74.62
Lochiel Lake,45.33,-62.05
Lochinvar,45.45,-74.66
Lochlin,44.94,-78.58
Lochside,45.54,-60.99
Lochview Road,44.82,-63.61
Lochwinnoch,45.47,-76.53
Lockerby,45.385,-81.12
Lockharts Mill,46.48,-67.55
Lockhartville,45.08,-64.22
Locks Cove,47.64,-56.5
Locks Harbour,49.45,-55.51
Locksley,45.72,-77.13
Lockstead,46.77,-65.86
Lockston,48.39,-53.37
Lockton,43.91,-79.86
Lockwood,51.65,-105.01
Lockwood Park,42.86,-81.3
Locust Hill,43.88,-79.19
Lodgeroom Corners,44.47,-77.37
Lodi,45.22,-75
Lo-Ellen,46.45,-80.98
Logan's 6,49.99,-120.56
Loganville,45.61,-63.02
Loggieville,47.07,-65.37
Logy Bay-Middle Cove-Outer Cove,47.63,-52.68
Lohbiee 3,51.46,-123.94
L'Oiseau-Bleu,45.79,-71.9
Lokla 4,50.37,-122.71
Lombardy,44.82,-76.09
Lombrette,47.16,-70.75
London Settlement,45.65,-66.02
Londonderry Station,45.45,-63.57
Lone Prairie,55.56,-121.38
Lone Rock,53.04,-109.87
Lonely Lake,51.17,-99.03
Lonesome Cove,51.4,-56.54
Long Bay,45.8,-82.4
Long Beach,47.52333333,-53.33
Long Beach,43.655,-79.055
Long Body Creek,51.76,-96.64
Long Branch,43.59,-79.53
Long Cove,47.05,-55.17
Long Creek,45.87,-65.76
Long Grade,47.61,-59.2
Long Harbour-Mount Arlington Heights,47.44,-53.78
Long Hill,46.11,-60.68
Long Island,46.19,-60.38
Long Lake,45.01,-62.96
Long Lake,44.69,-76.76
Long Lake 58,49.79,-86.56
Long Neck Island 9,48.31,-123.6
Long Plain 6,49.82,-98.47
Long Plain Madison 1,49.88,-97.2
Long Reach,45.47,-66.08
Long Sault 12,48.64,-94.06
Long Settlement,46.4,-67.74
Long Spruce Generating Station,56.39,-94.36
Long Tunnel 5,49.73,-121.43
Long Tunnel 5A,49.73,-121.44
Longbeach,49.61,-117.08
Longford,44.67,-79.34
Longmoor,43.36,-79.75
Longs Creek,45.86,-66.93
Longtinville,45.25,-75.16
Longue-Rive,48.55,-69.25
Longwood,42.84,-81.57
Loni Beach,50.64,-96.98
Lonsdale,44.27,-77.12
Looma,53.35,-113.25
Loomis,49.21,-108.73
Loon,48.63,-88.76
Loon Lake 10,51.85,-121.98
Loon Lake 235,56.53,-115.36
Loon Lake 4,51.06,-121.33
Loon Prairie 237,56.82,-115.39
Loon Straits,51.52,-96.58
Loran,52.24,-55.61
Loranger,46.43,-75.07
Lord Selkirk,49.94,-97.2
Lord Selkirk - West Kildonan,49.94,-97.15
Lords Mills,44.71,-75.62
Lordsvale,45.73,-75.9
Loree,44.5,-80.39
L'Orée-des-Bois,48.42,-71.28
Lorelei,53.62,-113.5
Lorette,49.73,-96.87
Loretteville,46.84,-71.36
Loretto,44.04,-79.89
Lories,46.9,-55.93
Lorimer Lake,45.54,-79.97
Lorin Meadow 9,52.66,-122.58
Lorlie,50.83,-103.28
Lorne Park,43.53,-79.61
Lorne Park Estates,43.53,-79.6
Lorne Valley,46.26,-62.69
Lornevale,45.47,-63.65
Lorneville,45.18,-66.15
Lorneville,45.98,-63.93
Lorneville,44.42,-79
Lorrain,47.36,-79.76
Lorrain Valley,47.26,-79.51
Lorraine,42.87,-79.2
Lorraine,45.68,-73.78
Lorrainville,47.35,-79.35
Losier Settlement,47.56,-64.93
Lost Channel,45.155,-78.805
Lost Nation,45.38,-77.39
Lost River,45.83,-74.54
Lot 11 and Area,46.66,-63.96
Lothian,43.98,-81.63
Lots-Renversés,47.66,-68.66
Lotus,44.12,-78.69
Loughborough 3,50.5,-125.54
Loughbreeze,43.98,-77.86
Louis Bull 138B,52.89,-113.56
Louis Creek,51.13,-120.11
Louis Creek 4,51.13,-120.12
Louis Head,43.74,-65.01
Louis Squinas Ranch 14,52.58,-125.45
Louisa,45.76,-74.36
Louisbourg,45.91,-59.97
Louise,44.27,-80.98
Louisville,45.73,-63.12
Louisville,42.47,-82.12
Lourdes-de-Blanc-Sablon,51.41,-57.2
Lousana,52.11,-113.19
Lovat,45.51,-62.85
Lovat,44.26,-81.33
Lovering,44.76,-79.61
Loverna,51.66,-110
Lovett,44.03,-77.65
Low Bush River,48.91,-80.15
Low Point,48.05,-52.95
Lowbanks,42.87,-79.45
Lowe Farm,49.35,-97.58
Lower Anfield,46.91,-67.48
Lower Barnaby,46.89,-65.56
Lower Barneys River,45.66,-62.34
Lower Blomidon,45.24,-64.36
Lower Bloomfield,46.27,-67.72
Lower Branch,44.41,-64.57
Lower Burlington,45.08,-64.13
Lower Burton,45.87,-66.37
Lower Caledonia,45.27,-62.27
Lower California,46.86,-67.76
Lower Cambridge,45.72,-66.07
Lower Canard,45.13,-64.38
Lower Cape,45.82,-64.59
Lower Caverhill,46.04,-67.12
Lower Chatham Head,47,-65.53
Lower China Creek,49.21,-117.68
Lower Clarks Harbour,43.43,-65.61
Lower Clyde River,43.72,-65.52
Lower Concession,44.25,-66.08
Lower Cove,45.7,-65.55
Lower Cove,45.72,-64.43
Lower Coverdale,46.03,-64.71
Lower Dacre,45.36,-76.94
Lower Debert,45.39,-63.51
Lower Derby,46.93,-65.61
Lower Durham,46.12,-66.51
Lower East Chezzetcook,44.69,-63.21
Lower East Pubnico,43.61,-65.77
Lower Economy,45.4,-63.98
Lower Fishpot Lake 24A,52.96,-123.8
Lower Five Islands,45.41,-64.09
Lower Gagetown,45.74,-66.14
Lower Greenfield,46.47,-67.64
Lower Greenville,45.63,-63.61
Lower Hainesville,46.09,-67.04
Lower Hat Creek 2,50.87,-121.5
Lower Holleford,44.46,-76.62
Lower Island Cove,48,-52.98
Lower Jemseg,45.78,-66.09
Lower Jordan Bay,43.68,-65.24
Lower Kars,45.58,-65.96
Lower Kingston,45.49,-65.98
Lower Kintore,46.67,-67.64
Lower Kootenay 1A,49.02,-116.51
Lower Kootenay 1B,49.07,-116.54
Lower Kootenay 1C,49.09,-116.58
Lower Kootenay 2,49.12,-116.56
Lower Kootenay 3,49.13,-116.58
Lower Kootenay 4,49.14,-116.59
Lower Kootenay 5,49.16,-116.58
Lower LaHave,44.28,-64.33
Lower L'Ardoise,45.6,-60.74
Lower Lincoln,45.86,-66.51
Lower Line Queensbury,45.92,-66.9
Lower Little Ridge,45.2,-67.39
Lower Lonsdale,49.31,-123.06
Lower Maccan,45.75,-64.3
Lower Main River,46.56,-64.98
Lower Midland,45.63,-65.81
Lower Millstream,45.73,-65.61
Lower Montague,46.15,-62.59
Lower Mount Royal,51.03,-114.08
Lower Napan,47.05,-65.34
Lower Neguac,47.26,-65.05
Lower New Cornwall,44.48,-64.46
Lower Newcastle,47.08,-65.39
Lower Nicola,50.15,-120.88
Lower Northampton,46.04,-67.54
Lower Northfield,44.47,-64.55
Lower Norton,45.53,-65.86
Lower Ohio,43.84,-65.36
Lower Onslow,45.37,-63.39
Lower Perth,46.7,-67.71
Lower Portage,46.92,-67.72
Lower Prince William,45.88,-66.99
Lower Prospect,44.45,-63.72
Lower Queensbury,45.88,-66.96
Lower Ridge,45.96,-65.36
Lower River Hebert,45.72,-64.34
Lower River Inhabitants,45.6,-61.23
Lower Rockport,45.72,-64.52
Lower Rose Bay,44.28,-64.29
Lower Royalton,46.46,-67.76
Lower Saint-Charles,46.69,-64.96
Lower Sandy Point,43.67,-65.28
Lower Saulnierville,44.24,-66.13
Lower Selma,45.31,-63.6
Lower Shag Harbour,43.5,-65.68
Lower Shawniken 4A,50.41,-121.36
Lower Shinimicas,45.9,-63.89
Lower Ship Harbour,44.78,-62.83
Lower Similkameen 2,49.11,-119.75
Lower South River,45.59,-61.91
Lower Springfield,45.5,-61.87
Lower St. Marys,45.93,-66.6
Lower Stafford,45.68,-77
Lower Stoneridge,46.06,-66.91
Lower Three Fathom Harbour,44.63,-63.29
Lower Tower Hill,45.3,-67.18
Lower Truro,45.36,-63.33
Lower Turtle Creek,46,-64.89
Lower Wakefield,46.2,-67.52
Lower Washabuck,46.06,-60.77
Lower Waterville,46.24,-67.58
Lower Wedgeport,43.71,-65.97
Lower Wentworth,45.7,-63.55
Lower Wingham,43.89,-81.31
Lower Wolfville,45.09,-64.32
Lower Woods Harbour,43.52,-65.73
Lower Woodstock,46.11,-67.57
Lowertown,45.43,-75.69
Lowther,49.655,-88.95
Lowville,43.43,-79.9
Loyal,43.77,-81.67
Loyalist,44.24,-76.76
Loyalist Park,44.61,-75.71
Lucan Biddulph,43.22,-81.38
Lucasville,44.76,-63.72
Lucasville,42.93,-82.34
Lucerne,45.39,-75.81
Lucille,43.98,-79.97
Lucky Man,53,-107.23
Ludgate,45.89,-80.53
Ludlow,46.49,-66.34
Lueck Mill,44.37,-80.89
Lugar,47.67,-65.81
Lukseetsissum 9,49.35,-121.61
Lulu 5,49.4,-120.22
Lumina,45.28,-79.01
Lumley,43.39,-81.41
Lumsden Beach,50.76,-104.89
Lumsden Dam,45.01,-64.38
Lumsden Road,47.08,-65.78
Lundy,45.28,-61.5
Lundys Corners,45.43,-76.52
Lundy's Lane,43.08,-79.1
Lurgan Beach,44.08,-81.73
Lushes Bight - Beaumont - Beaumont North,49.61,-55.69
Lussier,46.28,-74.16
Lust Subdivision,52.95,-122.43
Lutes Mountain,46.13,-64.9
Luton,42.73,-80.95
Lutterworth,44.88,-78.75
Luxton,48.42,-123.53
Lyacksun 3,49.09,-123.67
Lyalta,51.11,-113.6
Lydgate,43.71,-65.11
Lyleton,49.05,-101.17
Lynbrook Heights,50.4,-105.55
Lynch Corner,45.5,-66.16
Lynche River,45.65,-60.82
Lynden,43.23,-80.14
Lynedoch,42.8,-80.5
Lynn,45.51,-64.1
Lynn Valley,49.33,-123.03
Lynn Valley,42.81,-80.27
Lynnfield,45.39,-67.29
Lynnmour,49.31,-123.03
Lynnville,42.88,-80.36
Lynnwood,53.51,-113.58
Lynwood Village,45.32,-75.81
Lynx Creek,56.06,-121.83
Lyons,42.84,-80.98
Lyons,51.26,-107.02
Lyons Brook,45.66,-62.78
Lyonshall,49.16,-99.82
Lyttleton,46.93,-65.91
Lytton 13A,50.4,-121.68
Lytton 21A,50.27,-121.58
Lytton 26A,50.18,-121.58
Lytton 27B,50.24,-121.6
Lytton 31,50.2,-121.59
Lytton 32,50.41,-121.67
Lytton 33,50.41,-121.71
Lytton 3A,50.35,-121.66
Lytton 4A,50.44,-121.71
Lytton 4B,50.44,-121.72
Lytton 4C,50.44,-121.71
Lytton 4D,50.46,-121.71
Lytton 4E,50.42,-121.7
Lytton 4F,50.41,-121.69
Lytton 5A,50.5,-121.74
Lytton 9A,50.3,-121.65
Lytton 9B,50.27,-121.62
Maahpe 4,49.47,-126.44
Mabee's Corners,42.77,-80.68
Mabel,45.65,-74.46
Mabou Harbour,46.08,-61.41
Mabou Mines,46.11,-61.46
Macabee,47.91,-66.63
Maccan Woods,45.71,-64.31
MacCormicks Corner,46.15,-61.27
Macdonald,50.05,-98.46
MacDonald Beach,44.58,-79.31
"Macdonald, Meredith and Aberdeen Additional",46.47,-83.96
MacDonalds Grove,45.29,-74.89
MacDonalds Point,45.71,-66.04
MacDougall,46.26,-64.7
MacDowell,52.2,-92.72
MacEwan,51.15,-114.13
Maceys Bay,44.83,-79.76
MacGillivrays Bridge,45.15,-74.64
Machar,45.87,-79.47
Machin,49.77,-93.15
Machta 16,50,-127.15
MacIntosh Mill,46.52,-67.45
MacIntyre Lake,45.64,-61.27
MacKay,53.64,-115.58
MacKay Siding,45.15,-63.29
Mackdale,45.67,-61.35
Mackenzie 19,55.32,-123.09
MacKenzie Lake,50.9,-113.98
Mackey,46.17,-77.79
Macksville,42.82,-81.68
MacLarens Landing,45.51,-76.16
MacLean Settlement,46.07,-66.84
MacLennan,46.35,-84.02
MacLeod Settlement,45.94,-61.35
MacNabs Cove,45.73,-60.72
MacNider,48.67,-67.99
MacNutt,51.08,-101.6
MacPhees Corner,45.11,-63.53
Mactaquac,45.94,-66.88
Macton,43.62,-80.69
Macville,43.85,-79.78
Madawaska Valley,45.52,-77.68
Maddington Falls,46.21,-72.135
Madeira Park,49.61,-124.01
Maders Cove,44.43,-64.35
Madison,51.21,-109.01
Madsen,50.96,-93.92
Maecks Subdivision,45.83,-79.38
Mafeking,52.68,-101.11
Mafeking,43.91,-81.6
Magaguadavic,45.76,-67.16
Maganktoon 56,54.32,-129.98
Magna Bay,50.96,-119.28
Magnetawan 1,45.74,-80.46
Magnetic Hill,46.13,-64.88
Magnolia Bridge,53.59,-114.85
Magpie,48.1,-84.69
Magpie,50.31,-64.49
Magpie Mine,48.21,-84.71
Ma-Guala 6,49.13,-123.71
Magundy,45.82,-67.1
Magwekstala 10,50.91,-126.78
Mahatta River,50.46,-127.8
Mahmalillikullah 1,50.61,-126.56
Mahoneys Beach,45.7,-61.9
Mahpahkum 4,50.88,-127.48
Mah-te-nicht 8,50.45,-127.86
Maidens,47.21,-79.45
Maillard,47.33,-70.54
Maillardville,49.23,-122.88
Main-à-Dieu,46,-59.84
Mainstream,46.33,-67.39
Mainsville,44.81,-75.43
Mair,49.73,-101.8
Mair Mills,44.49,-80.27
Maison-Saint-Bernard,46.64,-70.64
Maitland Bridge,44.44,-65.2
Maka 8,50.26,-121.54
Makaoo 120,53.67,-110.03
Makaoo 120,53.67,-110.03
Makaroff,51.35,-101.5
Makinak,50.98,-99.66
Makkovik,55.04,-59.2
Maklaksadagmaks 41,54.78,-130.43
Maklaksadagmaks 42,54.82,-130.49
Makwa Lake 129,54.01,-109.31
Makwa Lake 129A,54.03,-109.09
Makwa Lake 129B,54.04,-109.2
Makwa Lake 129C,54.04,-109.09
Malachan 11,48.8,-124.66
Malachi,49.92,-94.98
Malagash,45.77,-63.37
Malagash Centre,45.77,-63.3
Malagash Mine,45.79,-63.32
Malagash Point,45.79,-63.26
Malagash Station,45.76,-63.41
Malagawatch,45.83,-60.98
Malagawatch 4,45.88,-60.96
Malahat,48.54,-123.56
Malahat 11,48.61,-123.52
Malahide,42.755,-80.915
Malakoff,46.12,-64.53
Malakoff,45.1,-75.77
Malauze,47.94,-66.75
Malay Falls,44.98,-62.48
Mal-Bay,48.62,-64.2
Malcolm,44.23,-81.1
Malcolm Island 8,50.63,-127.13
Malden,46.1,-63.87
Malden Centre,42.05,-83.03
Malignant Cove,45.78,-62.08
Malioténam 27A,50.21,-66.18
Mall Bay,46.97,-53.58
Malmo Plains,53.48,-113.53
Malone,44.56,-77.6
Malonton,50.57,-97.21
Malpeque Bay,46.51,-63.65
Maltais,47.93,-66.61
Maltampec,47.66,-65
Malton,43.7,-79.64
Malvern,43.81,-79.23
Malvern West,43.78,-79.24
Malvina,45.18,-71.44
Mammamattawa,50.41,-84.36
Mammin River 25,53.62,-132.31
Man of War Cove,48.52,-58.81
Manassette Lake,45.43,-61.35
Manawanstawayak 230,55.35,-103.37
Manche-d'Épée,49.25,-65.43
Manchester,51,-114.06
Manchester,45.45,-61.46
Manchester,44.07,-78.98
Mandaumin,42.95,-82.23
Mandeville,46.36,-73.35
Manganese Mines,45.4,-63.14
Manic-Cinq,50.63,-68.73
Manigotagan Settlement,51.11,-96.3
Manion Corners,45.25,-76.06
Manitoba House Settlement,50.86,-98.85
Manitou Beach,51.71,-105.43
Manitou Dock,45.11,-80.11
Manitou Falls,50.58,-93.46
Manitou Park,46.52,-84.27
Manitou Rapids 11,48.65,-93.91
Manley,43.59,-81.24
Mann,48.07,-66.71
Mann Mountain Settlement,47.94,-66.95
Mann Settlement,48.01,-67.01
Manneville,48.54,-78.43
Mannheim,43.39,-80.54
Mannhurst,45.94,-65.27
Manning Park,49.06,-120.78
Manola,54.09,-114.23
Manomin,48.89,-93.76
Manor Park,44.205,-78.455
Manordale,45.32,-75.75
Manotick Station,45.25,-75.62
Mansewood,43.55,-79.9
Mansfield,45.8,-63.93
Mansfield,44.92666667,-77.43333333
Mansfield-et-Pontefract,46.03,-76.73
Manson,50.13,-101.36
Mansville,45.16,-72.61
Mantario,51.26,-109.69
Mantua,45,-64.04
Manuels,47.03,-64.98
Manuels Cove,49.61,-54.73
Manvers,44.12,-78.56
Maple,43.585,-79.66
Maple Bay,48.81,-123.61
Maple Beach,44.37,-79.18
Maple Glen,47.02,-65.72
Maple Green,48.03,-66.52
Maple Grove,46.36,-66.71
Maple Grove,45.25,-63.54
Maple Grove,44.10666667,-78.39666667
Maple Grove,45.7,-72.68
Maple Hill,44.23666667,-78.94333333
Maple Hills,43.45,-80.54
Maple Island,45.69,-79.87
Maple Lake,45.08,-78.66
Maple Lane,43.63,-80.305
Maple Lane Annex,43.2,-79.98
Maple Lawn,44.3,-76.46
Maple Leaf,45.26,-77.83
Maple Leaf,45.32,-71.48
Maple Park,42.99,-79.27
Maple Point 11,53.1,-129.21
Maple Valley,44.5,-79.845
Maple View,44.24,-77.67
Mapledale,46.08,-67.65
Maplehurst,46.59,-67.69
Mapleton,45.975,-64.935
Mapleton,45.58,-64.14
Mapleton,43.285,-80.88
Mapleton Place,46.11,-64.76
Mapleview,46.96,-67.39
Maplewood,49.3,-123
Maplewood,46.18,-67.24
Maplewood,44.62,-64.62
Maplewood,43.26,-80.9
Maquapit Lake,45.93,-66.18
Maquazneecht Island 17,50.55,-127.55
Mar,44.82,-81.2
Mara Beach,44.51,-79.19
Marathon Village,45.36,-76.12
Marble Canyon 3,50.81,-121.66
Marble Mountain,45.81,-61.04
Marble Rock,44.39,-76.14
Marburg,42.83,-80.17
Marcelville,46.66,-65.53
Marchand,49.44,-96.38
Marchand,46.37,-74.88
Marchhurst,45.36,-75.99
Marchmont,44.63,-79.51
Marchwell,50.79,-101.58
Marcil,48.12,-65.04
Marcotte,49,-79.35
Marden,43.58,-80.29
Marelan,45.63,-74.56
Marengo,51.47,-109.78
Marentette Beach,41.99,-82.49
Margaree,46.39,-61.07
Margaree 25,46.33,-61.09
Margaree Centre,46.34,-60.99
Margaree Harbour,46.43,-61.1
Margaree Valley,46.35,-60.97
Margaret,49.4,-99.85
Margo Lake,49.81,-86.34
Marguerite,52.5,-122.43
Maria-de-Kent,46.44,-64.77
Maria-Ouest,48.15,-66.05
Mariatown,44.88,-75.2
Maricourt,45.56,-72.26
Marie Joseph,44.97,-62.08
Marie-Reine,56.07,-117.28
Marigold,48.46,-123.4
Marina Estates,44.33,-79.21
Marinette,44.97,-62.65
Marion's Corner,45.89,-77.06
Mariposa,44.31,-78.87
Mariposa Beach,44.66,-79.35
Mark Crossing,46.02,-76.09
Mark Hill,44.67,-66.8
Markerville,52.12,-114.17
Markhamville,45.61,-65.45
Markinch,50.93,-104.36
Markland Woods,43.61,-79.57
Marktosis 15,49.27,-126.05
Marlborough,50.535,-112.315
Marlborough Park,51.05,-113.94
Marlington,45.04,-72.19
Marmion,44.39,-81.05
Marmora and Lake,44.64,-77.73
Marne,45.9,-67.48
Marnoch,43.84,-81.42
Marpole,49.2,-123.13
Marquette,50.06,-97.73
Marquette,49.21,-68.14
Marquis,50.61,-105.71
Marriott,51.8,-108.01
Marriotts Cove,44.55,-64.27
Marrtown,45.84,-65.67
Marsboro,45.55,-70.94
Marsdale,43.13,-79.24
Marsh,45.5,-62.25
Marsh Brook,46.37,-61
Marsh Hill,44.15,-79.06
Marshall Bay,45.43,-76.29
Marshall Park,46.27,-79.44
Marshall Point,45.39,-61.47
Marshalltown,44.57,-65.8
Marshdale,45.47,-62.71
Marshes (West Bay),45.74,-61.15
Marshfield,42.07,-82.92
Marshville,45.75,-63.12
Marshy Hope,45.58,-62.19
Marshy Lake 1,51.09,-120.81
Marston,42.7,-80.6
Marston,45.5,-71
Marsville,43.82,-80.22
Martels Corners,45.36,-75.1
Marten Falls 65,51.66,-85.91
Marten River,46.73,-79.81
Marter,47.88,-79.8
Marthaville,42.9,-82.16
Martin,48.12,-65.1
Martin Farm,44.54,-79.59
Martin Grove Gardens,43.68,-79.56
Martin Prairie,50.66,-119.81
Martin Siding,47.09,-67.84
Martindale,51.11,-113.95
Martindale,45.83,-75.94
Martindale Heights,43.16,-79.26
Martinique,45.58,-61.05
Martins,45.28,-79.3
Martins Brook,44.4,-64.34
Martins Corner,45.47,-76.89
Martins Corners,45.5,-75.45
Martins Landing,44.87,-77.65
Martins Point,44.49,-64.31
Martinson's Beach,53.09,-108.43
Martinville,45.26,-71.71
Martock,44.95,-64.16
Martyrs Shrine,44.73,-79.84
Marvelville,45.21,-75.37
Marvin Heights,43.71,-79.65
Mary Cove 12,52.61,-128.43
Mary Hill,49.23,-122.78
Mary Hill Training Area,48.34,-123.54
Marydale,45.53,-61.86
Marygrove,44.83,-79.9
Maryhill,43.53,-80.38
Maryland,45.56,-76.37
Marysburg,52.31,-105.08
Maryvale,45.73,-62.04
Maryvale,43.76,-79.31
Marywood Meadows,43.64,-79.93
Mascarene,45.1,-66.9
Mascouche,45.75,-73.6
Masefield,49.15,-107.8
Mashteuiatsh,48.56,-72.23
Maskikopawiscikosik 229,55.21,-103.04
Maskinonge Park,44.23,-79.46
Mason Creek,57.33,-122.78
Masons Beach,44.36,-64.32
Masons Point,44.66,-63.91
Masonville,43.02,-81.28
Masonville,46.03,-73.73
Massanoga,44.97,-77.28
Massawippi,45.18,-71.99
Masset 1,54.03,-132.16
Massey Drive,48.93,-57.89
Massey Place,52.14,-106.71
Massie,44.46,-80.8
Masstown,45.38,-63.48
Matachewan 72,48.06,-80.64
Matador,50.8,-107.95
Matamec,50.28,-65.97
Matane-Est,48.85,-67.48
Matane-sur-Mer,48.82,-67.58
Matapédia-Ouest,47.93,-66.96
Matawatchan,45.14,-77.11
Matchlee 13,49.61,-126.04
Mates Corner,46.13,-64.13
Mather,49.09,-99.19
Mathers Corners,44.22,-78.21
Matlaten 4,50.45,-125.52
Matsayno 5,50.55,-125.36
Matsqui,49.1,-122.29
Matsqui 4,49,-122.47
Matsqui Main 2,49.1,-122.34
Mattagami 71,47.85,-81.52
Mattatall Lake,45.68,-63.47
Mattawan,46.36,-78.84
Matthews,46.93,-65.91
Matthiasville,44.99,-79.2
Mattice-Val Côté,49.64,-83.28
Mattie Settlement,45.59,-61.55
Mauriceville,47.27,-71.03
Mauvais Rocher 5,50.78,-121.08
Maxan Creek 5,54.33,-126.14
Maxan Lake 3,54.34,-126.16
Maxan Lake 4,54.31,-126.11
Maxim,49.31,-103.96
Maxwellton,44.16,-66.05
Mayerville,45.27,-75.06
Mayfair,51,-114.08
Mayfair,49.23,-122.82
Mayfair,42.79,-81.58
Mayfair,52.56,-107.13
Mayfeld,50.11,-98.99
Mayfield,53.55,-113.6
Mayfield,45.2,-67.31
Mayfield,43.76,-79.79
Mayflower,44.08,-66.09
Mayhews Landing,45.32,-77.58
Mayland Heights,51.05,-114
