Municipality,Province - Territory,Latitude,Longitude
Muskoka Beach,Ontario,44.96,-79.36
Muskoka Falls,Ontario,44.99,-79.29
Muskoka Lakes,Ontario,45.1,-79.58
Muskoka Lodge,Ontario,45.23,-79.24
Muskowekwan 85,Saskatchewan,51.32,-104.05
Muskowekwan 85-1,Saskatchewan,51.34,-103.88
Muskowekwan 85-10,Saskatchewan,51.36,-103.97
Muskowekwan 85-11,Saskatchewan,51.35,-104.01
Muskowekwan 85-12,Saskatchewan,51.26,-103.92
Muskowekwan 85-13,Saskatchewan,51.33,-104.24
Muskowekwan 85-14,Saskatchewan,51.35,-104.18
Muskowekwan 85-15,Saskatchewan,51.36,-103.95
Muskowekwan 85-16,Saskatchewan,51.29,-104.04
Muskowekwan 85-17,Saskatchewan,51.28,-103.88
Muskowekwan 85-18,Saskatchewan,51.34,-104.15
Muskowekwan 85-19,Saskatchewan,51.26,-103.94
Muskowekwan 85-20,Saskatchewan,51.36,-103.91
Muskowekwan 85-21,Saskatchewan,51.21,-104.01
Muskowekwan 85-22,Saskatchewan,51.28,-103.93
Muskowekwan 85-23,Saskatchewan,51.29,-103.98
Muskowekwan 85-24,Saskatchewan,51.27,-103.93
Muskowekwan 85-25,Saskatchewan,51.27,-104.02
Muskowekwan 85-26,Saskatchewan,51.32,-103.96
Muskowekwan 85-27,Saskatchewan,51.28,-103.92
Muskowekwan 85-28,Saskatchewan,51.29,-103.93
Muskowekwan 85-29,Saskatchewan,51.26,-103.98
Muskowekwan 85-2A,Saskatchewan,51.36,-103.93
Muskowekwan 85-3,Saskatchewan,51.25,-104.03
Muskowekwan 85-30,Saskatchewan,51.35,-104.08
Muskowekwan 85-31,Saskatchewan,51.42,-103.89
Muskowekwan 85-32,Saskatchewan,51.29,-104.08
Muskowekwan 85-33,Saskatchewan,51.26,-103.96
Muskowekwan 85-34,Saskatchewan,51.34,-104.07
Muskowekwan 85-35,Saskatchewan,51.29,-104.06
Muskowekwan 85-36,Saskatchewan,51.27,-103.94
Muskowekwan 85-37,Saskatchewan,51.24,-103.94
Muskowekwan 85-38,Saskatchewan,51.28,-103.98
Muskowekwan 85-39,Saskatchewan,51.25,-103.93
Muskowekwan 85-4,Saskatchewan,51.34,-104.04
Muskowekwan 85-40,Saskatchewan,51.27,-103.97
Muskowekwan 85-41,Saskatchewan,51.27,-103.99
Muskowekwan 85-42,Saskatchewan,51.28,-104.04
Muskowekwan 85-43,Saskatchewan,51.52,-103.88
Muskowekwan 85-44,Saskatchewan,51.28,-104.07
Muskowekwan 85-45,Saskatchewan,51.51,-103.93
Muskowekwan 85-46,Saskatchewan,51.29,-103.94
Muskowekwan 85-47,Saskatchewan,51.25,-103.95
Muskowekwan 85-48,Saskatchewan,51.36,-103.96
Muskowekwan 85-49,Saskatchewan,51.53,-103.89
Muskowekwan 85-5,Saskatchewan,51.29,-104.01
Muskowekwan 85-50,Saskatchewan,51.51,-103.8
Muskowekwan 85-51,Saskatchewan,51.34,-103.93
Muskowekwan 85-52,Saskatchewan,51.25,-104.02
Muskowekwan 85-53,Saskatchewan,51.3,-104.14
Muskowekwan 85-54,Saskatchewan,51.29,-103.99
Muskowekwan 85-55,Saskatchewan,50.41,-104.48
Muskowekwan 85-56,Saskatchewan,51.47,-103.87
Muskowekwan 85-57,Saskatchewan,51.29,-103.95
Muskowekwan 85-58,Saskatchewan,51.21,-104.01
Muskowekwan 85-59,Saskatchewan,51.23,-103.94
Muskowekwan 85-6,Saskatchewan,51.29,-104.15
Muskowekwan 85-60,Saskatchewan,51.26,-104
Muskowekwan 85-61,Saskatchewan,51.28,-104
Muskowekwan 85-62,Saskatchewan,51.36,-103.91
Muskowekwan 85-63,Saskatchewan,51.51,-103.87
Muskowekwan 85-64,Saskatchewan,51.53,-103.88
Muskowekwan 85-65,Saskatchewan,51.53,-103.85
Muskowekwan 85-66,Saskatchewan,51.4,-104.05
Muskowekwan 85-67,Saskatchewan,51.37,-103.82
Muskowekwan 85-69,Saskatchewan,51.25,-103.94
Muskowekwan 85-7,Saskatchewan,51.28,-104.06
Muskowekwan 85-8,Saskatchewan,51.36,-103.93
Muskowekwan 85-9,Saskatchewan,51.36,-104.02
Muskowekwan 85A,Saskatchewan,51.38,-104.3
Muskowekwan Reserve 85-68,Saskatchewan,51.28,-104.11
Muskrat Dam Lake,Ontario,53.41,-91.7
Muskwaminiwatim 225,Saskatchewan,54.67,-103.71
Musquash,New Brunswick,45.19,-66.32
Musqueam 2,British Columbia,49.23,-123.2
Musqueam 4,British Columbia,49.06,-123.12
Musselman's Lake,Ontario,44.02,-79.27
Muttonville,Ontario,44.91,-75.22
Myers Cave,Ontario,44.84,-77.12
Myers Point,Nova Scotia,44.76,-63.04
Myrehall,Ontario,44.34,-77.23
Myrtle,Manitoba,49.35,-97.83
Myrtle,Ontario,44,-78.96
Myrtle Point,British Columbia,49.8,-124.48
Myrtle Station,Ontario,44.01,-78.96
Mystic,Quebec,45.15,-72.98
Nacmine,Alberta,51.46,-112.78
Naden 10,British Columbia,53.94,-132.67
Naden 23,British Columbia,53.97,-132.68
Nahamanak 7,British Columbia,50.13,-121.58
Nahlquonate 2,British Columbia,53.3,-123.16
Nahma,Ontario,49.01,-80.95
Nahwitti 4,British Columbia,50.87,-128.05
Nairn,Ontario,43.11,-81.55
Nairn and Hyman,Ontario,46.35,-81.63
Naiscoutaing 17A,Ontario,45.67,-80.48
Nak'a Lat 39,British Columbia,54.7,-125.22
Nakamun Park,Alberta,53.88,-114.21
Nak'azdli,British Columbia,54.43,-124.24
Nakiskatowaneek 227,Saskatchewan,54.83,-102.77
Nakoma,Ontario,43.21,-79.99
Na-kwockto 2,British Columbia,51.09,-127.46
Namaka,Alberta,50.95,-113.29
Namao,Alberta,53.71,-113.49
Namur Lake 174B,Alberta,57.43,-112.62
Namur River 174A,Alberta,57.48,-112.5
Nan Tl'At 13,British Columbia,54.5,-125.19
Nanaimo Range,British Columbia,49.14,-123.99
Nanaimo River 2,British Columbia,49.11,-123.88
Nanaimo River 3,British Columbia,49.12,-123.88
Nanaimo River 4,British Columbia,49.12,-123.87
Nanaimo Town 1,British Columbia,49.15,-123.92
Nananahout 1,British Columbia,50.43,-121.56
Nanoose,British Columbia,49.25,-124.11
Nantel,Quebec,46.1,-74.4
Nantes,Quebec,45.63,-71.03
Nantyr,Ontario,44.29,-79.57
Nantyr Park,Ontario,44.3,-79.53
Naongashing,Ontario,49.25,-94.53
Naongashing 31A,Ontario,49.25,-94.49
Naongashing 35A,Ontario,49.25,-94.49
Napahkapihskow Sakhahigan,Manitoba,55.53,-100.74
Napan Bay,New Brunswick,47.05,-65.29
Naphan,Ontario,44.36,-77.2
Napier,Ontario,42.86,-81.76
Napperton,Ontario,42.95,-81.7
Narcisse,Manitoba,50.68,-97.52
Narcisse's Farm 4,British Columbia,49.13,-119.76
Narol,Manitoba,50.05,-96.97
Narrows,Ontario,44.39,-75.91
Narva,Ontario,44.19,-81.35
Na-Sha-Ke-Penais,Manitoba,49.95,-97.01
Nashville,Ontario,43.84,-79.66
Nashwaak Village,New Brunswick,46.09,-66.61
Nashwaaksis,New Brunswick,45.98,-66.65
Nasonworth,New Brunswick,45.83,-66.67
Nass Camp,British Columbia,55.28,-128.98
Nassau,Ontario,44.35,-78.28
Natazutlooh 25,British Columbia,54.98,-125.28
Nathlegalis 3,British Columbia,51.28,-127.65
Nation Valley,Ontario,45.07,-75.27
National Mills,Manitoba,52.82,-101.58
Natuashish 2,Newfoundland and Labrador,55.92,-61.17
Naughton,Ontario,46.4,-81.19
Nautley (Fort Fraser) 1,British Columbia,54.07,-124.6
Navan,Ontario,45.42,-75.42
Navarre,Quebec,46.5,-75.56
Navin,Manitoba,49.84,-97
Naykikoulth 13,British Columbia,50.31,-121.22
Naytawunkank,Manitoba,53.64,-95.77
Nazareth,Quebec,48.43,-68.56
Nazco 20,British Columbia,52.95,-123.58
Nazco 21,British Columbia,52.93,-123.62
Nazco Cemetery 20A,British Columbia,52.94,-123.59
Nazko,British Columbia,53,-123.61
NCN Mystery Lake Parcel,Manitoba,55.74,-97.85
Ndakdolk 54,British Columbia,54.48,-130.19
NE Crescent Heights,Alberta,50.05,-110.66
Necait 6,British Columbia,50.7,-122.29
Necausley Creek 6,British Columbia,52.48,-122.63
Nechako,British Columbia,54.05,-128.63
Necum Teuch,Nova Scotia,44.96,-62.22
Nedoats 11,British Columbia,55.05,-126.31
Nedoats 13,British Columbia,55.05,-126.36
Neebing,Ontario,48.18,-89.47
Neebish,Ontario,46.35,-84.1
Neekas 4,British Columbia,52.47,-128.16
Neelin,Manitoba,49.22,-99.34
Neely,Saskatchewan,51.93,-105.78
Neguaguon Lake 25D,Ontario,48.39,-92.07
Nehounlee Lake 13,British Columbia,54.45,-124.09
Neidpath,Saskatchewan,50.21,-107.25
Neigette,Quebec,48.43,-68.36
Neils Harbour,Nova Scotia,46.8,-60.32
Nekalliston 2,British Columbia,51.42,-120.19
Nekaneet Cree Nation,Saskatchewan,49.68,-109.29
Nekite 2,British Columbia,51.41,-127.1
Nekliptum 1,British Columbia,50.1,-121.55
Nelles Corners,Ontario,42.92,-79.95
Nelles Estates,Ontario,43.18,-79.54
Nellie Lake,Ontario,48.76,-80.8
Nelson Beach,Saskatchewan,52.64,-105.7
Nelson Hollow,New Brunswick,46.53,-66.18
Nelson House 170,Manitoba,55.8,-98.88
Nelson House 170A,Manitoba,55.74,-98.93
Nelson House 170B,Manitoba,55.75,-98.86
Nelson House 170C,Manitoba,55.8,-98.83
Nelson Junction,New Brunswick,46.94,-65.58
Nelson Park,Ontario,42.99,-81.16
Nelson-Miramichi,New Brunswick,46.97,-65.54
Nemaska,Quebec,51.7,-76.25
Nemegos,Ontario,47.72,-83.2
Nemekus Sakahikan 221,Saskatchewan,55.35,-102.28
Nenagh,Ontario,44.04,-80.84
Nepean,Ontario,45.27,-75.77
Nephton,Ontario,44.62,-78
Nequatque 1,British Columbia,50.55,-122.48
Nequatque 2,British Columbia,50.52,-122.48
Nequatque 3,British Columbia,50.52,-122.49
Nequatque 3A,British Columbia,50.52,-122.49
Nequatque 4,British Columbia,50.5,-122.54
Nesbitt,Manitoba,49.6,-99.86
Nesikep 6,British Columbia,50.55,-121.78
Nesikep 6A,British Columbia,50.55,-121.79
Neskantaga,Ontario,52.2,-88.04
Neskonlith 1,British Columbia,50.78,-119.74
Neskonlith 2,British Columbia,50.75,-119.73
Ness Country,Manitoba,50.75,-96.98
Nesslin Lake,Saskatchewan,53.93,-106.78
Nestleton,Ontario,44.15,-78.79
Nestleton Station,Ontario,44.14,-78.79
Nestow,Alberta,54.23,-113.6
Nesuch 3,British Columbia,50.3,-122.65
Nesuk 4,British Columbia,49.75,-126.38
Netherby,Ontario,42.96,-79.13
Netherhill,Saskatchewan,51.47,-108.85
Netley,Manitoba,50.35,-96.95
Ne-tsaw-greece 10,British Columbia,55.06,-126.48
Nettle Island 5,British Columbia,48.92,-125.24
Neubergthal,Manitoba,49.07,-97.48
Neuenburg,Manitoba,49.08,-97.9
Neuhorst,Manitoba,49,-97.74
Neuhorst,Saskatchewan,52.4,-106.57
Neuville,Quebec,46.7,-71.58
Nevada Valley,Nova Scotia,46.05,-61.24
Nevis,Alberta,52.33,-113.03
New Aberdeen,Nova Scotia,46.21,-59.96
New Avon,New Brunswick,46.07,-66.09
New Bonaventure,Newfoundland and Labrador,48.28,-53.44
New Bothwell,Manitoba,49.59,-96.89
New Brighton,British Columbia,49.45,-123.43
New California,Ontario,42.03,-82.78
New Campbellton,Nova Scotia,46.29,-60.43
New Canaan,New Brunswick,46.08,-65.42
New Canaan,Nova Scotia,45.51,-64.28
New Canaan,Ontario,42.11,-82.94
New Canada,Nova Scotia,44.47,-64.68
New Carlisle East,Quebec,48.01,-65.3
New Carlisle West,Quebec,48,-65.39
New Carlow,Ontario,45.25,-77.73
New Chester,Nova Scotia,45.03,-62.21
New Clew 10,British Columbia,53.02,-131.77
New Credit,Ontario,42.99,-80.09
New Credit 40A,Ontario,42.99,-80.09
New Cumberland,Nova Scotia,44.28,-64.44
New Currie,Saskatchewan,50.38,-105.56
New Dayton,Alberta,49.42,-112.38
New Denmark,New Brunswick,46.99,-67.59
New Denmark Corner,New Brunswick,46.95,-67.65
New Denmark Station,New Brunswick,46.99,-67.58
New Dublin,Ontario,44.66,-75.8
New Durham,Ontario,43.04,-80.56
New Edinburgh,Nova Scotia,44.43,-66.01
New Edinburgh,Ontario,45.44,-75.68
New Elm,Nova Scotia,44.4,-64.82
New England Settlement,New Brunswick,46.07,-66.09
New Ferolle,Newfoundland and Labrador,51.01,-57.05
New Flos,Ontario,44.46,-79.96
New France,Nova Scotia,45.55,-61.72
New Gairloch,Nova Scotia,45.48,-62.83
New Gamebridge Beach,Ontario,44.5,-79.19
New Gitsegukla 2,British Columbia,55.16,-127.78
New Grafton,Nova Scotia,44.41,-65.18
New Harbour East,Nova Scotia,45.19,-61.47
New Harbour West,Nova Scotia,45.19,-61.49
New Harris Forks,Nova Scotia,46.25,-60.48
New Harris Settlement,Nova Scotia,46.23,-60.49
New Haven,Nova Scotia,46.82,-60.32
New Haven-Riverdale,Prince Edward Island,46.22,-63.32
New Horton,New Brunswick,45.66,-64.72
New Jersey,New Brunswick,47.2,-65.18
New Lairg,Nova Scotia,45.45,-62.81
New Line Road,New Brunswick,45.67,-65.48
New London,Quebec,45.64,-72.07
New Lowell,Ontario,44.35,-79.97
New Mexico,Quebec,45.35,-71.45
New Mills,New Brunswick,47.96,-66.18
New Osgoode,Saskatchewan,52.98,-103.8
New Osnaburgh,Ontario,51.23,-90.23
New Park,Ontario,44.06,-78.66
New Perlican,Newfoundland and Labrador,47.9,-53.32
New Post 69,Ontario,49.88,-81.34
New Post Indian Reserve 69A,Ontario,49,-80.83
New Prospect,Nova Scotia,45.42,-64.27
New Prussia,Ontario,43.45,-80.75
New Richmond Centre,Quebec,48.16,-65.86
New Richmond Station,Quebec,48.17,-65.84
New Richmond West,Quebec,48.18,-65.89
New River Beach,New Brunswick,45.13,-66.53
New Ross 20,Nova Scotia,44.84,-64.41
New Russell,Nova Scotia,44.76,-64.42
New Salem,Nova Scotia,45.42,-64.78
New Sarum,Ontario,42.77,-81.08
New Scotland,New Brunswick,46.23,-64.94
New Scotland,Ontario,43.15,-80.74
New Settlement,British Columbia,49.41,-117.61
New Songhees 1A,British Columbia,48.44,-123.42
New Sudbury,Ontario,46.52,-80.95
New Toronto,Ontario,43.59,-79.5
New Truro Road,Nova Scotia,45.66,-63.28
New Tusket,Nova Scotia,44.27,-65.9
New Uhthoff,Ontario,44.69,-79.49
New Victoria,Nova Scotia,46.25,-60.12
New Wasaga Beach,Ontario,44.55,-79.99
New Waterford,Nova Scotia,46.24,-60.08
New Zion,New Brunswick,46.05,-66.1
Newark,Ontario,42.97,-80.68
Newaygo,Quebec,45.88,-74.34
Newbliss,Ontario,44.79,-75.97
Newboyne,Ontario,44.73,-76.11
Newbridge,New Brunswick,46.15,-67.51
Newbridge,Ontario,43.85,-80.97
Newburg,New Brunswick,46.19,-67.5
Newburne,Nova Scotia,44.58,-64.59
Newcastle,New Brunswick,47,-65.56
Newcastle Centre,New Brunswick,46.08,-65.98
Newcastle Creek,New Brunswick,46.05,-66
Newcombville,Nova Scotia,44.37,-64.62
Newellton,Nova Scotia,43.46,-65.63
Newfoundout,Ontario,45.38,-77.1
Newholm,Ontario,45.23,-79.15
Newmanville,Ontario,44.93,-75.75
Newport Centre,Quebec,48.26,-64.75
Newport Corner,Nova Scotia,44.96,-63.97
Newport Point,Quebec,48.29,-64.72
Newport Station,Nova Scotia,44.96,-64.05
Newport-Ouest,Quebec,48.23,-64.77
Newry,Ontario,43.65,-81.02
Newton,Alberta,53.57,-113.41
Newton,British Columbia,49.13,-122.85
Newton,Manitoba,49.92,-98.07
Newton,Ontario,43.59,-80.87
Newton Brook,Ontario,43.79,-79.41
Newton Mills,Nova Scotia,45.22,-62.91
Newton Robinson,Ontario,44.12,-79.68
Newtonville,Nova Scotia,45.04,-64.38
Newtonville,Ontario,43.93,-78.49
Newtown,New Brunswick,45.83,-65.44
Newtown,Newfoundland and Labrador,47.36,-53.17
Newtown,Nova Scotia,45.505,-61.77
Neyaashiinigmiing,Ontario,44.91,-81.02
Neys,Ontario,48.77,-86.58
Nezah,Ontario,49.66,-87.65
Ngwyu'Yemc 36,British Columbia,50.3,-121.55
Niagara Falls Centre,Ontario,43.09,-79.07
Niagara Falls South,Ontario,43.08,-79.12
Niagara Gardens,Ontario,43.15,-79.2
Niagara-on-the-Lake Range and Training Area,Ontario,43.25,-79.09
Nichabau,Quebec,45.96,-77.13
Nicholas Denys,New Brunswick,47.69,-65.88
Nicholson,British Columbia,51.25,-116.9
Nicholson,Ontario,47.95,-83.77
Nicholsons Point,Ontario,44.2,-76.68
Nicholsville,Nova Scotia,44.97,-64.8
Nickel Centre,Ontario,46.55,-80.81
Nickel Palm 4,British Columbia,50.45,-121.7
Nickeldale,Ontario,46.51,-80.97
Nickeyeah 25,British Columbia,50.2,-121.58
Nickey's Nose Cove,Newfoundland and Labrador,49.69,-55.93
Nicoelton 6,British Columbia,50.51,-121.39
Nicola,British Columbia,50.16,-120.66
Nicola Lake 1,British Columbia,50.21,-120.45
Nicola Mameet 1,British Columbia,50.16,-120.83
Nicolet Range,Quebec,46.19,-72.68
Nicolston,Ontario,44.16,-79.81
Nicomen 1,British Columbia,50.26,-121.4
Nictau,New Brunswick,47.23,-67.15
Nictaux,Nova Scotia,44.92,-65.04
Nictaux Falls,Nova Scotia,44.9,-65.03
Nictaux South,Nova Scotia,44.86,-65.03
Nictaux West,Nova Scotia,44.9,-65.07
Night Hawk Centre,Ontario,48.54,-80.94
Nightingale,Alberta,51.16,-113.33
Nihkik Ohnikapihs,Manitoba,56.06,-101.13
Nile,Ontario,43.81,-81.63
Niles Corners,Ontario,43.97,-77.41
Nilestown,Ontario,42.97,-81.11
Nimpkish,British Columbia,50.33,-126.91
Nimpkish 2,British Columbia,50.58,-126.92
Nimpo Lake,British Columbia,52.33,-125.15
Nine Mile Creek 4,British Columbia,49.43,-120.29
Nine Mile River,Nova Scotia,45.04,-63.57
Nineveh,Nova Scotia,44.49,-64.8
Ninga,Manitoba,49.22,-99.88
Nipissing,Ontario,46.07,-79.525
Nipissing 10,Ontario,46.36,-79.76
Nipissing Beach,Ontario,46.19,-79.5
Nipissing Junction,Ontario,46.26,-79.39
Nipissing Ouest,Ontario,46.44,-80.04
Nippers Harbour,Newfoundland and Labrador,49.79,-55.87
Nishanocknawnak 35,British Columbia,54.42,-130.11
Nisku,Alberta,53.34,-113.54
Nitchequon,Quebec,53.18,-70.9
Nith Grove,Ontario,45.2,-79.07
Nithburg,Ontario,43.47,-80.82
Niton,Alberta,53.65,-115.75
Niweme,Ontario,45.6,-80.39
Nixon,New Brunswick,45.95,-64.93
Nixon,Ontario,42.85,-80.4
Nkaih 10,British Columbia,50.32,-121.65
Nobbs Siding,Ontario,45,-77.73
Nober,Ontario,42.94,-80.16
Nocten 19,British Columbia,50.25,-121.51
No-Cut 5,British Columbia,55.34,-126.65
Noel Road,Nova Scotia,45.2,-63.73
Noel Shore,Nova Scotia,45.31,-63.64
Noels Pond,Newfoundland and Labrador,48.56,-58.51
Nogies Creek,Ontario,44.58,-78.49
Nohomeen 23,British Columbia,50.25,-121.6
Noinville,New Brunswick,46.64,-65.36
Nolalu,Ontario,48.29,-89.8
Nolans Corners,Ontario,44.95,-75.97
Noo Kat 42,British Columbia,54.82,-125.13
Nooaitch 10,British Columbia,50.2,-121.08
Nooaitch Grass 9,British Columbia,50.18,-121.01
Noonla 6,British Columbia,54.02,-124.07
Nooseseck 2,British Columbia,52.34,-126.98
Noota 4,British Columbia,52.47,-127.74
Nora,Saskatchewan,52.38,-103.83
Noral,Alberta,54.65,-112.36
Nordic Townsite,Ontario,46.37,-82.57
Nordin,New Brunswick,47.02,-65.53
Norfolk County,Ontario,42.8,-80.4
Norgate,British Columbia,49.31,-123.11
Norham,Ontario,44.18,-77.87
Norman,Ontario,42.73,-81.19
Normandale,Ontario,42.71,-80.3
Normandie,New Brunswick,46.48,-64.98
Normandy Heights,Saskatchewan,50.43,-104.63
Normanhurst,Ontario,43.24,-79.79
Normans Bay,Newfoundland and Labrador,52.93,-55.9
Norman's Cove-Long Cove,Newfoundland and Labrador,47.54,-53.68
Normanview,Saskatchewan,50.48,-104.66
Normanview West,Saskatchewan,50.47,-104.67
Norris Beach,Alberta,52.96,-114.02
North Ainslie,Nova Scotia,46.18,-61.18
North Algona Wilberforce,Ontario,45.61,-77.22
North Alton,Nova Scotia,45.05,-64.52
North Bay 5,British Columbia,50.78,-119.31
North Boat Harbour,Newfoundland and Labrador,51.59,-55.98
North Branch,Ontario,47.005,-84.45
North Brookfield,Nova Scotia,44.4,-64.95
North Bruce,Ontario,44.37,-81.43
North Bulkley,British Columbia,54.48,-126.48
North Buxton,Ontario,42.31,-82.22
North Campbell River,British Columbia,50.05,-125.26
North Chegoggin,Nova Scotia,43.88,-66.12
North Clarendon,Quebec,45.7,-76.49
North Cobalt,Ontario,47.42,-79.64
North Colesdale Park,Saskatchewan,50.95,-105.15
North Cooking Lake,Alberta,53.46,-112.93
North Cove,Newfoundland and Labrador,53.78,-56.48
North Delta,British Columbia,49.16,-122.91
North Devon,New Brunswick,45.96,-66.63
North Dumfries,Ontario,43.32,-80.38
North Dundas,Ontario,45.09,-75.38
North East Harbour,Nova Scotia,43.55,-65.38
North East Margaree,Nova Scotia,46.32,-61
North Ekfrid,Ontario,42.85,-81.64
North End,Ontario,43.26,-79.86
North Esk Boom,New Brunswick,46.96,-65.68
North Flats,Alberta,50.03,-110.65
North Forks,New Brunswick,46.22,-65.96
North Frontenac,Ontario,45,-76.9
North Galiano,British Columbia,49,-123.58
North Glanford,Ontario,43.17,-79.9
North Glengarry,Ontario,45.37,-74.66
North Glenmore Park,Alberta,50.99,-114.1
North Glenora,Alberta,53.55,-113.55
North Grand Pré,Nova Scotia,45.13,-64.31
North Grant,Nova Scotia,45.66,-62.03
North Grenville,Ontario,44.98,-75.66
North Greville,Nova Scotia,45.47,-64.58
North Grove,Saskatchewan,50.69,-105.55
North Hall,Ontario,42.8,-80.81
North Harbour,Newfoundland and Labrador,47.15,-53.66
North Harbour South,Newfoundland and Labrador,47.15,-53.65
North Haven,Alberta,51.08,-114.08
North Haven Upper,Alberta,51.1,-114.08
North Huron,Ontario,43.83,-81.41
North Intervale,Nova Scotia,45.48,-61.65
North Kamloops,British Columbia,50.7,-120.36
North Kawartha,Ontario,44.76,-78.14
North Kemptville,Nova Scotia,44.08,-65.84
North Kentville,Nova Scotia,45.09,-64.49
North Kingston,Nova Scotia,45.01,-64.95
North Lake,New Brunswick,45.83,-67.73
North Lancaster,Ontario,45.24,-74.5
North Lochaber,Nova Scotia,45.46,-62.01
North Lonsdale,British Columbia,49.33,-123.06
North Low,Quebec,45.85,-75.94
North Lunenburg,Ontario,45.06,-74.96
North McIntyre,Ontario,48.47,-89.3
North Medford,Nova Scotia,45.19,-64.37
North Middlesex,Ontario,43.17,-81.62
North Monetville,Ontario,46.17,-80.3
North Nation Mills,Quebec,45.64,-75.12
North Nechako,British Columbia,53.93,-122.76
North Noel Road,Nova Scotia,45.22,-63.74
North Onslow,Quebec,45.59,-76.27
North Oshawa,Ontario,43.93,-78.88
North Park,Ontario,43.71,-79.47
North Park,Saskatchewan,52.14,-106.64
North Pelham,Ontario,43.06,-79.35
North Poplar,British Columbia,49.03,-122.33
North Port,Ontario,44.14,-77.18
North Portage,Ontario,45.32,-79.08
North Preston,Nova Scotia,44.74,-63.46
North Prominent Ridge,Manitoba,54.7,-92.53
North Range,Nova Scotia,44.5,-65.83
North Renous,New Brunswick,46.8,-65.85
North Ridge,New Brunswick,46.55,-67.3
North Ridge,Ontario,42.15,-82.77
North River,Newfoundland and Labrador,47.54,-53.31
North River,Nova Scotia,45.02,-64.01
North River Bridge,Nova Scotia,46.3,-60.62
North River Centre,Nova Scotia,46.29,-60.61
North Riverside,Nova Scotia,45.46,-61.56
North Road,New Brunswick,44.91,-66.94
North Road 19,British Columbia,54.46,-124.2
North Rogersville,New Brunswick,46.76,-65.45
North Russell,Ontario,45.3,-75.38
North Salem,Nova Scotia,45.14,-63.46
North Seguin,Ontario,45.49,-79.67
North Shore,Nova Scotia,46.095,-61.925
North Shore,Prince Edward Island,46.38,-63.12
North Shore Fishing Lake,Saskatchewan,51.84,-103.51
North Star,Alberta,56.85,-117.61
North Star,British Columbia,49.68,-116
North Stormont,Ontario,45.21,-75.01
North Sutton,Quebec,45.14,-72.66
North Sydney,Nova Scotia,46.2,-60.25
North Tacla Lake (Bates Creek) 10,British Columbia,55.7,-126.23
North Tacla Lake (North End Meadow) 11A,British Columbia,55.7,-126.25
North Tacla Lake (West Landing) 8,British Columbia,55.46,-126
North Tacla Lake 12,British Columbia,55.8,-124.63
North Tacla Lake 7,British Columbia,55.48,-125.96
North Tacla Lake 7A,British Columbia,55.48,-125.98
North Tay,New Brunswick,46.22,-66.86
North Tetagouche,New Brunswick,47.63,-65.78
North Thamesville,Ontario,42.56,-82
North Thompson 1,British Columbia,51.25,-120.16
North Tilley,New Brunswick,46.83,-67.67
North Toronto,Ontario,43.72,-79.4
North Valley,Ontario,45.05,-75.05
North Vermilion Settlement,Alberta,58.4,-116.03
North View,New Brunswick,46.95,-67.43
North Wallace,Nova Scotia,45.83,-63.48
North Wallace Bay,Nova Scotia,45.84,-63.55
North Ward,Ontario,42.67,-81.21
North West Arm,Nova Scotia,46.14,-60.28
North West Brook - Ivany's Cove,Newfoundland and Labrador,48.03,-53.95
North West Harbour,Nova Scotia,43.56,-65.41
North Weyburn,Saskatchewan,49.69,-103.8
North Williamston,Nova Scotia,44.89,-65.11
North Wiltshire,Prince Edward Island,46.29,-63.32
North Winchester,Ontario,45.18,-75.25
North Winsloe,Prince Edward Island,46.35,-63.2
North Woodslee,Ontario,42.21,-82.71
North Woolwich,Ontario,43.65,-80.54
North York,Ontario,43.76,-79.41
Northcote,Ontario,45.5,-76.81
Northdale,Ontario,43.03,-81.25
Northeast Crouse,Newfoundland and Labrador,50.92,-55.85
Northeast Mabou,Nova Scotia,46.09,-61.4
Northern Arm,Newfoundland and Labrador,49.18,-55.38
Northern Bay,Newfoundland and Labrador,47.94,-53.06
Northern Bruce Peninsula,Ontario,45.09,-81.4
Northern Harbour,New Brunswick,44.99,-66.98
Northern Heights,Ontario,46.5,-81.24
Northern Lights 220,Saskatchewan,53.18,-105.75
Northern Rockies Regional Municipality,British Columbia,58.8,-122.7
Northfield,British Columbia,49.19,-123.97
Northfield,Nova Scotia,44.855,-64.405
Northfield,Ontario,47.27,-78.67
Northfield,Quebec,46.09,-76.04
Northfield Station,Ontario,45.1,-74.95
Northland,Ontario,46.72,-84.14
Northmount,Alberta,53.6,-113.47
Northridge,British Columbia,49.7,-123.13
Norths Corner,Nova Scotia,45.17,-64.42
Northside,Saskatchewan,53.51,-105.76
Northside East Bay,Nova Scotia,46,-60.44
Northville,Nova Scotia,45.14,-64.56
Northwest,Nova Scotia,44.4,-64.35
Northwest Angle 33B,Ontario,49.38,-95
Northwest Angle 34C,Manitoba,49.36,-95.18
Northwest Angle 34C & 37B,Ontario,49.38,-95.13
Northwest Angle 37C,Manitoba,49.36,-95.16
Northwest Basin,Ontario,44.8,-79.94
Northwest Bay,Ontario,48.85,-93.57
Northwest Bridge,New Brunswick,46.97,-65.58
Northwest Cove,Nova Scotia,44.53,-64.02
Northwood,Ontario,42.48,-82.05
Northwood Park,Ontario,43.67,-79.77
Norton Creek,Quebec,45.16,-73.71
Nortondale,New Brunswick,46.11,-67.27
Norval,Ontario,43.64,-79.85
