,Municipality,Longitude,Latitude
7694,Lake Siding,-57.44,49.15
7695,Lake Traverse,-78.07,45.94
7696,Lake Uist,-60.63,45.77
7697,Lake Valley,-106.01,50.63
7698,Lake View,-71.61,46.89
7699,Lake Wasaw,-93.64,48.72
7700,Lakeburn,-64.67,46.1
7701,Lakehurst,-78.42,44.53
7702,Lakelands,-64.105,45.195
7703,Lakelet,-81.06,43.94
7704,Lakelse 25,-128.61,54.38
7705,Lakenheath,-106.28,49.53
7706,Lakeport,-77.9,43.98
7707,Lakeridge,-106.57,52.09
7708,Lakeshore Village,-80.55,43.48
7709,Lakeside,-65.84,45.51
7712,Lakeside Beach,-78.91,44.15
7713,Laketon,-65.12,46.85
7714,Laketown 3,-124.18,53.92
7715,Lakevale,-61.91,45.78
7716,Lakeview,-114.28,52.275
7722,Lakeview Beach,-79.13,44.59
7723,Lakeview Estates,-78.5,44.44
7724,Lakeview Park,-77.315,44.605
7725,Lakeview-Terrasse,-75.8,45.39
7726,Lakeville Corner,-66.25,45.9
7727,Lakewood,-65.95,45.31
7730,Lakewood Beach,-83.07,42.03
7731,Lakewood Heights,-65.97,45.3
7732,Lakgeas 87,-128.62,54.39
7733,Lakway Cemetery 3,-122.04,49.14
7734,Lalement,-69.89,47.0
7735,L'Alverne,-66.69,48.13
7736,L'Amable,-77.78,45.01
7737,Lamarche,-71.43,48.8
7738,Lamb Island 5,-123.62,48.33
7739,Lambert,-80.99,43.58
7740,Lamberts Cove,-66.93,45.01
7741,Lambertville,-66.94,45.01
7742,Lambeth,-81.29,42.9
7743,Lambton Industrial,-113.4,53.52
7744,Lambton Mills,-79.51,43.65
7745,Lamlash,-80.97,44.21
7746,Lammermoor,-76.53,45.09
7747,Lamming Mills,-120.26,53.35
7748,Lamoreaux Corner,-67.68,46.46
7749,Lamoureux,-113.22,53.71
7750,Lamy,-69.09,47.78
7751,Lanark Highlands,-76.51,45.1
7752,Lanas 4,-132.21,53.65
7753,Lancelot,-79.36,45.26
7754,Lancer,-108.87,50.8
7755,L'Ancienne-Lorette,-71.35,46.8
7756,Landerkin,-80.62,44.01
7757,Landreville,-74.03,45.16
7758,Landry,-64.95,47.67
7759,Lands End,-66.17,45.34
7760,Lanes,-81.61,43.94
7761,Lanesville,-63.23,45.13
7762,Langbank,-102.29,50.04
7763,Langdale,-123.46,49.43
7764,L'Ange-Gardien,-74.76,45.59
7766,Langley 2,-122.42,49.18
7767,Langley 3,-122.41,49.17
7768,Langley 4,-122.4,49.18
7769,Langley 5,-122.52,49.17
7770,Langman,-79.96,44.53
7771,Langruth,-98.67,50.38
7772,Langside,-81.42,43.96
7773,Langstaff,-79.42,43.83
7774,Languedoc,-78.69,48.8
7775,Laniel,-79.27,47.04
7776,Lanoieville,-72.88,45.84
7777,Lansdowne Station,-62.83,45.42
7778,L'Anse au Loup,-56.83,51.52
7779,L'Anse-à-Baril,-73.54,46.29
7780,L'Anse-à-Beaufils,-64.3,48.47
7781,L'Anse-à-Benjamin,-70.87,48.36
7782,L'Anse-à-Brillant,-64.31,48.73
7783,L'Anse-à-Fugère,-64.35,48.97
7784,L'Anse-à-Gilles,-70.44,47.07
7785,L'Anse-à-Jean,-66.32,49.17
7786,L'Anse-à-la-Cabane,-61.97,47.22
7787,L'Anse-à-la-Croix,-67.28,48.9
7788,L'Anse-à-Mercier,-65.1,49.22
7789,L'Anse-au-Clair,-57.06,51.46
7790,L'Anse-au-Griffon,-64.28,48.92
7791,L'Anse-au-Griffon-Nord,-64.31,48.93
7792,L'Anse-au-Persil,-69.54,47.87
7793,L'Anse-au-Sac,-70.2,47.52
7794,L'Anse-aux-Canards,-64.71,48.29
7795,L'Anse-aux-Canons,-64.91,49.2
7796,L'Anse-aux-Cousins,-64.51,48.84
7797,L'Anse-à-Valleau,-64.55,49.08
7798,L'Anse-Creuse,-69.86,48.19
7799,L'Anse-de-Cap-Santé,-71.83,46.69
7800,L'Anse-de-l'Église,-66.42,49.15
7801,L'Anse-de-Roche,-69.87,48.22
7802,L'Anse-du-Portage,-58.29,51.23
7803,L'Anse-McInnis,-64.93,48.18
7804,L'Anse-Mercier,-70.86,46.88
7805,L'Anse-Pleureuse,-65.64,49.24
7806,L'Anse-Sainte-Anne-des-Monts,-66.51,49.11
7807,L'Anse-Saint-Jean,-70.2,48.23
7808,L'Anse-Victoria,-71.28,46.75
7809,Lansing,-79.41,43.76
7810,Lantier,-74.25,46.15
7811,Lanz Point,-108.28,53.03
7812,Lapland,-64.67,44.29
7813,LaPlante,-65.77,47.76
7814,Lapointe,-68.69,47.52
7815,Lapointe Settlement,-66.08,47.91
7816,Laporte,-109.51,51.21
7817,L'Archeveque,-60.57,45.62
7818,Larchwood,-81.3,46.58
7819,Lardeau,-116.95,50.15
7820,Largie,-81.56,42.69
7821,Larkhaven,-106.68,52.16
7822,Larkins,-77.18,44.45
7823,Larkspur,-113.72,54.41
7824,Larochelle,-72.195,46.025
7825,Larocque,-81.03,49.13
7826,Larouche,-71.51,48.45
7827,Larrimac,-75.82,45.55
7828,Larrys River,-61.37,45.22
7829,LaRue Mills,-75.88,44.43
7830,Lascelles,-75.96,45.7
7831,L'Ascension-de-Notre-Seigneur,-71.68,48.7
7832,L'Ascension-de-Patapédia,-67.25,47.93
7833,LaScie,-55.61,49.94
7834,Laskay,-79.57,43.91
7835,Lasswade,-77.94,44.75
7836,Last Mountain Lake 80A,-105.02,50.78
7837,Latchford Bridge,-77.47,45.29
7838,Laterrière-Bassin,-71.13,48.31
7839,Latimer,-76.51,44.36
7840,Latimer Lake,-65.91,45.3
7841,Latta,-77.33,44.3
7842,Latties Brook,-63.57,45.23
7843,Lattkaloup 9,-128.74,52.7
7844,Latulipe,-79.03,47.42
7845,Latulipe-et-Gaboury,-79.0,47.4
7846,Lauder,-100.67,49.39
7847,Lauderbach,-80.96,44.0
7848,Lauderdale,-113.5,53.58
7849,Launay,-78.53,48.65
7850,Laura,-107.26,51.85
7851,Lauréat,-76.37,45.91
7852,Laurel,-80.2,43.95
7854,Laurel-Station,-74.41,45.89
7855,Laurence,-73.56,45.89
7856,Laurentian Belaire,-122.83,49.25
7857,Laurentian Valley,-77.22,45.76
7858,Laurentian View,-76.49,45.635
7859,Laurentien,-81.0,46.59
7860,Laurie River,-101.0,56.22
7861,Laurier Heights,-113.56,53.51
7862,Laurin,-80.07,44.77
7863,Lauriston,-80.72,44.3
7864,Lauvergot,-65.18,47.3
7865,Lauzon,-71.16,46.83
7866,Laval-des-Rapides,-73.7,45.55
7867,Laval-Ouest,-73.86,45.55
7868,Laval-sur-le-Lac,-73.86,45.53
7869,Lavant,-76.65,45.06
7870,Lavant Station,-76.7,45.04
7871,Lavender,-80.16,44.26
7872,Lavenham,-98.71,49.79
7873,Laverlochère,-79.3,47.43
7874,Lavigne,-80.17,46.32
7875,Lavington,-119.1,50.23
7876,Lavinia,-100.66,50.27
7877,Lavoie,-71.18,46.85333333
7878,Lavoy,-111.86,53.45
7879,Lawanth 5,-126.87,50.94
7880,Lawledge,-94.11,56.94
7881,Lawrence Colony,-71.41,45.41
7882,Lawrence Heights,-79.44,43.72
7883,Lawrence Manor,-79.43,43.72
7884,Lawrence Park,-79.4,43.72
7885,Lawson,-106.65,50.85
7886,Lawson Heights,-106.61,52.17
7887,Lax Kw'alaams 1,-130.4,54.48
7888,Layland,-98.17,49.8
7889,Layton,-79.0,44.22
7890,Le Bas-de-la-Paroisse,-71.42,46.695
7891,Le Bas-de-Sainte-Anne,-72.14,46.58
7892,Le Bassin,-73.75,45.36
7893,Le Bois-Clair,-71.52,46.65
7894,Le Bout-du-Banc,-65.89,49.21
7895,Le Bras-du-Suroît,-70.45,48.09
7896,Le Cap-Blanc,-70.18,47.59
7897,Le Cinquième,-67.47,48.77
7898,Le Coin,-70.92,45.48
7899,Le Coin-chez-Brault,-73.01,45.03
7900,Le Coin-chez-Desranleau,-73.0,45.06
7901,Le Coin-des-Anglais,-74.01,46.08
7902,Le Cordon,-73.66,45.98
7903,Le Dépôt,-73.84,45.285
7904,Le Deux-Matalik,-67.25,48.24
7905,Le Domaine,-76.53,47.04
7906,Le Domaine-de-la-Pêche-au-Saumon,-73.79,45.25
7907,Le Faubourg,-72.06,46.59
7908,Le Frappe-Sacre,-72.0,46.61
7909,Le Gardeur,-73.47,45.74
7910,Le Grand-Deuxième,-67.37,48.86
7911,Le Grand-Marais,-71.81,48.46
7912,Le Grand-Ruisseau,-72.84,46.34
7913,Le Grand-Sainte-Marie,-72.22,46.55
7914,Le Grand-Sault,-70.65,46.05
7915,Le Grand-Village,-71.48,46.76
7916,Le Haut-de-la-Paroisse,-71.535,46.66
7917,Le Lac,-64.53,45.99
7918,Le Lac-de-l'Ancre,-70.21,48.11
7919,Le Lac-des-Hauteurs,-70.51,48.06
7920,Le Lac-des-Sommets,-70.53,48.01
7921,Le Lac-Emmuraillé,-70.25,48.0
7922,Le Lac-Solitaire,-70.46,48.06
7923,Le Lac-Sombre,-70.25,48.1
7924,Le Méandre,-73.79,45.24
7925,Le Mont-Bellevue,-71.9,45.38
7926,Le Mont-Édouard,-70.28,48.15
7927,Le Moulin,-61.95,47.21
7928,Le Moulin-Lacasse,-70.93,46.41
7929,Le Moyne,-72.265,46.225
7930,Le Petit-Brûlé,-74.03,45.59
7931,Le Petit-Canada,-79.09,46.73
7932,Le Petit-Canton,-70.78,46.86
7933,Le Petit-Deuxième,-67.35,48.88
7934,Le Petit-Ouest,-64.65,48.37
7935,Le Petit-Poste,-73.07,46.33
7936,Le Petit-Sainte-Marie,-72.25,46.57
7937,Le Petit-Saint-Marcellin,-68.23,48.37
7938,Le Petit-Village,-72.21,46.505
7939,Le Pied-de-l'Île,-76.99,45.85
7940,Le Plateau,-69.99,47.73
7941,Le Plateau-Mont-Royal,-73.57,45.52
7942,Le Pré,-61.8,47.41
7943,Le Précieux-Sang,-72.4,46.29
7944,Le Radar,-71.15,46.32
7945,Le Rang-des-Dumais,-67.21,48.28
7946,Le Rang-Morin,-67.19,48.26
7947,Le Remous,-70.0,47.7
7948,Le Renversé,-67.33,48.69
7949,Le Rocher,-73.9,45.1
7950,Le Rocher-Fendu,-76.71,45.73
7951,Le Ruisseau-à-Venant,-70.23,48.2
7952,Le Ruisseau-du-Portage,-70.25,48.2
7953,Le Secteur-des-Lacs,-71.9,45.8
7954,Le Seuil-Beaudoin-de-la-Pointe-à-Marie,-73.99,46.26
7955,Le Sud-Ouest,-73.59,45.47
7956,Le Suroît,-66.17,49.2
7957,Le Trou-à-Balle,-66.39,48.16
7958,Le Trou-de-Chat,-64.21,48.52
7959,Le Val-du-Clermont,-70.37,48.05
7960,Le Vieux-Longueuil,-73.5,45.53
7961,Le Vieux-Port,-73.55,45.5
7962,Le Village,-74.62,46.19
7963,Le Village-de-la-Madeleine,-71.67,46.73
7964,Le Village-d'Orvilliers,-72.16,46.59
7965,Le Village-du-Cap,-66.72,49.06
7966,Le Village-Saint-Jean,-71.65,46.72
7967,Leach Lake,-76.48,45.79
7968,Leacross,-104.05,53.05
7969,Leadbury,-81.31,43.64
7970,Leading Tickles East,-55.41,49.5
7971,Leadville,-72.28,45.02
7972,Learned Plain,-71.54,45.42
7973,Leaside,-79.36,43.7
7974,Leavitt,-113.45,49.16
7975,Lebahdo,-117.58,49.6
7976,Lebanon,-80.82,43.7
7977,LeBlanc,-64.27,46.17
7978,LeBlancville,-64.78,46.26
7979,Lebret,-103.69,50.75
7980,Lebrun,-73.07,46.22
7981,L'Échouerie,-61.78,47.39
7982,Leckie Park,-79.78,43.18
7983,Leclair,-76.65,45.89
7984,Leclercville,-72.0,46.56
7985,Ledgerwoods Corner,-76.83,45.72
7986,Lee Creek,-119.53,50.9
7987,Lee Ridge,-113.44,53.46
7988,Lee River,-95.87,50.29
7989,Lee Settlement,-66.8,45.27
7990,Lee Valley,-81.94,46.2
7991,Leeburn,-83.81,46.46
7992,Leech,-64.98,47.45
7993,Leedale,-114.46,52.58
7994,Leeds,-76.18,44.52
7995,Leeds and the Thousand Islands,-76.09,44.48
7996,Lee's Corner,-74.33,45.05
7997,Leeville,-80.16,47.65
7998,Lefaives Corners,-79.99,44.72
7999,Lefebvre,-72.41,45.71
8000,Lefroy,-79.55,44.26
8001,Légerville,-65.0,46.3
8002,Leggatt,-80.35,43.96
8003,Legge,-76.13,44.35
8004,Lehighs Corners,-75.94,44.71
8005,Leiblin Park,-63.62,44.6
8006,Leipzig,-108.68,52.18
8007,Leitches Creek,-60.34,46.15
8008,Leith,-80.87,44.62
8009,Leitrim,-75.59,45.33
8010,Lejeune,-68.58,47.76
8011,Lelachen 6,-122.22,49.78
8012,Leland,-76.43,44.45
8013,Lemay,-75.91,45.98
8014,Lemesurier,-71.28,46.24
8015,Lemieux,-75.05,45.39
8017,Leminster,-64.29,44.82
8018,Lemon Creek,-117.48,49.7
8019,Lemonville,-79.3,43.98
8020,Lemsford,-109.11,50.85
8021,Lena,-99.66,49.07
8022,Lendrum Place,-113.51,53.5
8023,Lennox Island 1,-63.85,46.61
8024,Lennox Island 5,-63.9,46.62
8025,Lennox Island 6,-63.81,46.32
8026,Lennox Passage,-61.08,45.59
8027,Lenore,-100.75,49.95
8028,Lens,-76.92,44.44
8029,Lenswood,-100.95,52.32
8030,Leo Creek,-125.56,55.08
8031,Leon 14,-125.06,53.47
8032,Leon Creek 2,-121.91,51.0
8033,Leon Creek 2A,-121.93,50.99
8034,Leonard,-75.35,45.42
8035,Léonard-de-Matapédia,-67.0,47.95
8036,Leonards Beach,-79.53,44.33
8037,Leonardville,-66.95,44.97
8038,Lepage,-82.6,49.46
8040,L'Épinglette-des-Lacs,-70.43,48.0
8041,L'Épiphanie,-73.48,45.85
8042,Lequille,-65.49,44.72
8043,Leross,-103.87,51.28
8044,Lerwick,-67.61,46.84
8045,Léry,-73.8,45.35
8046,Les Bergeronnes,-69.55,48.25
8047,Les Boules,-67.95,48.68
8048,Les Buissons,-68.38,49.1
8049,Les Caps,-61.93,47.39
8050,Les Cèdres,-74.955,45.35
8051,Les Chenaux,-72.37,46.3
8052,Les Chutes-de-la-Chaudière-Est,-71.23,46.66
8053,Les Chutes-de-la-Chaudière-Ouest,-71.3,46.65
8054,Les Cimes,-70.36,48.15
8055,Les Concessions,-71.03,47.04
8056,Les Coteaux,-74.23,45.28
8057,Les Côtes-du-Portage,-65.57,49.25
8058,Les Dalles,-73.52,45.98
8059,Les Eaux-Mortes,-70.42,48.16
8060,Les Éboulements-Centre,-70.33,47.46
8061,Les Éboulements-Est,-70.26,47.5
8062,Les Écureuils,-71.7,46.67
8063,Les Étroits-Nord,-68.89,47.42
8064,Les Fonds,-71.6,46.65
8065,Les Grands-Déserts,-71.41,46.79
8066,Les Grèves,-73.17,45.98
8067,Les Hauteurs,-68.11,48.38
8068,Les Hurons,-73.22,45.48
8069,Les Îles-de-la-Madeleine,-61.86,47.38
8070,Les Îles-Laval,-73.85,45.51
8071,Les Îles-Sainte-Marie,-59.65,50.3
8072,Les Îlets,-68.165,48.7
8073,Les Îlets-Jérémie,-68.79,48.88
8074,Les Îlots-de-Newport,-64.75,48.25
8075,Les Islets-Caribou,-67.23,49.49
8076,Les Lots-à-Pépère,-71.16,45.97
8077,Les Monts-d'Orient,-70.24,48.06
8078,Les Petites-Terres,-72.87,46.27
8079,Les Prairies,-70.99,47.69
8080,Les Quarante,-64.58,48.39
8081,Les Quatre-Chemins-de-la-Huitième,-70.76,46.62
8082,Les Rapides,-68.6,47.26
8083,Les Rivières,-71.3,46.83
8084,Les Sept-Lacs,-68.83,50.63
8085,Les Souliers-Verts,-71.76,45.75
8086,Les Sources,-74.8,45.54
8087,Les Trois-Marches,-70.3,48.08
8088,Les Trois-Monts,-70.42,48.04
8089,Les Trois-Ponts,-70.22,48.21
8090,Les Trois-Ruisseaux,-64.26,48.91
8091,Lesage,-74.07,45.85
8092,Leskard,-78.64,44.02
8093,Leslie,-61.51,47.62
8094,Leslie Beach,-103.56,51.81
8095,Leslie Park,-75.79,45.33
8096,L'Espérance,-70.24,46.91
8097,Lesser Slave Lake Settlement,-116.12,55.51
8098,Lesterdale,-61.52,45.44
8099,Letang,-66.83,45.08
8101,L'Étang-des-Caps,-62.01,47.24
8102,L'Étang-du-Nord,-61.95,47.35
8103,L'Étape,-71.22,47.56
8104,Letellier,-97.3,49.13
8105,Letete,-66.89,45.05
8106,Lethbridge Range,-112.85,49.71
8107,Letterbreen,-80.78,44.01
8108,Letterkenny,-77.42,45.36
8109,Letts Corners,-77.1,45.57
8110,Levack,-81.39,46.64
8111,Leverville,-67.13,45.3
8112,Levesque,-68.27,47.43
8113,Levesque Settlement,-67.73,47.13
8114,Leville,-64.41,44.74
8115,Lewis Corners,-81.61,42.76
8116,Lewis Cove Road,-60.69,45.66
8117,Lewis Lake,-63.83,44.68
8118,Lewis Mountain,-65.15,46.04
8119,Lewisville,-64.75,46.1
8120,Lewvan,-104.1,50.0
8121,Lexington,-61.37,45.67
8122,Lezbye 6,-124.06,51.41
8123,Lhoh Cho 29,-124.21,54.77
8124,Li Dezé 196c,-111.55,59.86
8125,Liard River 3,-128.5,59.93
8126,Libau,-96.71,50.26
8127,Libbytown,-71.99,45.12
8128,Liberty,-105.44,51.14
8129,Licford,-67.5,46.78
8130,Liebenthal,-109.53,50.66
8131,Lieury,-81.6,43.19
8132,Lifford,-78.64,44.19
8133,Lighthouse Point,-123.28,48.86
8134,Ligny-Saint-Flochel,-64.46,48.4
8135,L'Île-à-Lafond,-72.2,46.55
8136,L'Île-au-Pigeon,-57.65,51.4
8137,L'Île-aux-Castors,-73.15,46.08
8138,L'Île-aux-Chats,-74.37,45.58
8139,L'Île-aux-Noix,-73.27,45.13
8140,L'Île-aux-Oies,-70.47,47.13
8141,L'Île-Bizard,-73.87,45.48
8142,L'Île-Bizard–Sainte-Geneviève,-73.86,45.48
8143,L'Île-Bouchard,-73.34,45.81
8144,L'Île-Cadieux,-74.01,45.43
8145,L'Île-d'Anticosti,-63.0,49.5
8146,L'Île-d'Embarras,-72.96,46.08
8147,L'Île-d'Entrée,-61.7,47.27
8148,L'Île-des-Esquimaux,-57.71,51.4
8149,L'Île-des-Pins,-72.21,46.57
8150,L'Île-Dorval,-73.73,45.43
8151,L'Île-du-Collège,-79.51,47.38
8152,L'Île-du-Grand-Calumet,-76.61,45.71
8153,L'Île-du-Moine,-73.01,46.06
8154,L'Île-du-Sable,-72.16,46.57
8155,L'Île-Enchanteresse,-71.2,46.96
8156,L'Île-Madame,-73.09,46.09
8157,L'Île-Merrill,-74.34,49.87
8158,L'Île-Michon,-62.02,50.22
8159,L'Île-Nepawa,-79.45,48.68
8160,L'Île-Perrot,-73.95,45.38
8161,L'Île-Perrot-Nord,-73.98,45.4
8162,L'Île-Saint-Amour,-73.13,46.07
8163,L'Île-Sainte-Thérèse,-73.25,45.37
8164,L'Île-Saint-Régis,-74.63,45.01
8165,L'Île-Siscoe,-77.87,48.14
8166,Lillies,-75.82,44.57
8167,Lillooet 1,-121.95,50.67
8168,Lillooet 1A,-121.95,50.72
8169,Lily Oak,-80.71,44.41
8170,Lilydale,-64.34,44.39
8171,Limberlost Lodge,-79.0,45.39
8172,Limbour,-75.75,45.49
8173,Lime Hill,-61.14,45.76
8174,Lime Lake,-77.14,44.39
8175,Limehouse,-79.97,43.63
8176,Limekiln,-66.77,46.26
8177,Limerock,-62.84,45.54
8178,Limestone,-67.69,46.475
8179,Limestone Generating Station,-94.1,56.5
8180,L'Immaculée-Conception,-67.13,47.95
8181,Limoilou,-71.22,46.83
8182,Linacre,-109.63,50.48
8183,Linacy,-62.59,45.59
8184,Lincoln Heights,-75.78,45.36
8185,Lincoln Park,-122.75,49.28
8186,Lincolnville,-61.54,45.51
8188,Lind,-81.14,43.24
8189,Lindbergh,-110.67,53.88
8190,Lindell Beach,-122.01,49.03
8191,Linden Beach,-82.75,42.02
8192,Linden Valley,-78.85,44.36
8193,Lindenlea,-75.67,45.44
8194,Lindenwood,-80.98,44.68
8195,Lindsay Lake,-63.01,45.04
8196,Lindys,-65.3,45.8
8197,Lineboro,-72.17,45.0
8198,Lingan,-60.06,46.23
8199,Lingan Road,-60.13,46.18
8200,Lingman Lake,-92.89,53.85
8201,Lingwick,-71.33,45.58
8202,Linkletter,-63.83,46.4
8203,Links Mills,-76.76,44.22
8204,Linton,-79.66,43.95
8205,Linton Corner,-67.42,46.88
8206,Linwood Station,-61.57,45.62
8207,Lipp's Beach,-105.17,50.93
8208,Lipsett,-104.68,52.78
8209,Lisbon,-80.78,43.46
8210,Liscomb,-61.99,45.02
8211,Liscomb Mills,-62.09,45.01
8212,Lisgar,-79.78,43.59
8213,Lisgar Station,-72.28,45.64
8214,Lish-Leesh-Tum 17,-121.33,50.42
8215,Lisieux,-105.97,49.27
8216,L'Isle-aux-Allumettes,-77.06,45.91
8217,L'Isle-aux-Coudres,-70.38,47.4
8218,L'Isle-aux-Grues,-70.54,47.06
8219,L'Isle-Verte-Ouest,-69.35,48.0
8220,Lismore,-62.26,45.7
8221,Lisson Settlement,-65.41,45.61
8222,Lister,-116.46,49.05
8223,Listerville,-67.77,46.57
8224,Listuguj,-66.75,48.06
8225,Litchfield,-65.6,44.77
8227,Little Anse,-60.93,45.49
8228,Little Aylmer,-80.98,42.81
8229,Little Barasway,-54.04,47.17
8230,Little Bartibog,-65.44,47.12
8231,Little Bass River,-63.8,45.39
8232,Little Bay,-55.95,49.59
8233,Little Bay East,-54.86,47.55
8234,Little Bay Islands,-55.79,49.64
8235,Little Beach,-65.47,45.37
8236,Little Black Bear 84,-103.35,50.99
8237,Little Black Bear 84SC,-103.42,51.03
8238,Little Bone 74B,-102.45,51.02
8239,Little Branch,-65.2,47.0
8240,Little Bras d'Or,-60.29,46.23
8241,Little Brockville,-76.14,44.58
8242,Little Brook,-66.12,44.3
8243,Little Brook Station,-66.09,44.28
8244,Little Buffalo,-116.1,56.43
8245,Little Burnt Bay,-55.08,49.33
8246,Little Dover,-64.63,46.0
8247,Little Dyke,-63.55,45.38
8248,Little Fishing Lake,-109.56,53.85
8249,Little Forks,-64.14,45.7
8250,Little Gaspereau,-64.94,47.55
8251,Little Germany,-79.255,44.305
8252,Little Grand Rapids 14,-95.41,52.0
8253,Little Harbour,-56.09,49.38
8255,Little Heart's Ease,-53.69,48.0
8256,Little Hills 158,-105.42,55.05
8257,Little Hills 158A,-105.45,55.04
8258,Little Hills 158B,-105.42,55.02
8259,Little Island Cove,-53.55,47.42
8260,Little Judique,-61.48,45.94
8261,Little Lake,-79.955,43.915
8262,Little Lepreau,-66.45,45.13
8263,Little Liscomb,-61.97,45.02
8264,Little Long Rapids,-82.16,50.0
8265,Little Longlac,-86.96,49.69
8266,Little Lorraine,-59.86,45.95
8267,Little Narrows,-60.98,45.99
8268,Little Pine 116,-108.22,52.72
8269,Little Pond,-60.27,46.27
8270,Little Port Elgin,-81.04,44.88
8271,Little Port L'Hebert,-64.95,43.77
8272,Little Quirpon,-55.44,51.57
8273,Little Rapids,-83.54,46.3
8274,Little Red River 106C,-105.95,53.5
8275,Little Red River 106D,-106.05,53.55
8276,Little Ridge,-64.74,45.64
8277,Little River,-124.91,49.73
8280,Little River Harbour,-66.03,43.73
8281,Little River Lake,-64.46,44.97
8282,Little Salmonier,-55.17,47.06
8283,Little Saskatchewan,-98.56,51.68
8284,Little Saskatchewan 48,-98.57,51.68
8285,Little Saskatchewan 48B,-98.4,51.65
8286,Little Shemogue,-64.02,46.11
8287,Little Springs 18,-122.08,51.85
8288,Little Springs 8,-122.08,51.85
8289,Little Swan River,-102.16,52.4
8290,Little Tancook,-64.13,44.47
8291,Little Tracadie,-64.94,47.52
8292,Littles Corners,-80.27,43.34
8293,Littlewood,-81.31,42.84
8294,Lively,-81.14,46.43
8295,Living Springs,-80.4,43.75
8296,Livingstone Cove,-61.97,45.86
8297,Livingstone Creek,-83.45,46.26
8298,Lizotte,-72.17,48.1
8299,Lloyd,-76.32,45.15
8300,Lloydtown,-79.69,43.99
8301,Lobo,-81.42,43.0
8302,Lobster Cove,-57.95,49.61
8303,Lobstick Settlement,-112.6,54.01
8304,Loch Broom,-62.74,45.65
8305,Loch Katrine,-61.93,45.43
8306,Loch Lomond,-65.86,45.35
8308,Loch Woods,-96.98,50.74
8309,Lochaber,-62.02,45.41
8311,Lochaber Mines,-62.47,45.0
8312,Lochaber-Partie-Ouest,-75.3,45.61
8313,Lochalsh,-82.955,46.18
8314,Lochiel,-74.62,45.37
8315,Lochiel Lake,-62.05,45.33
8316,Lochinvar,-74.66,45.45
8317,Lochlin,-78.58,44.94
8318,Lochside,-60.99,45.54
8319,Lochview Road,-63.61,44.82
8320,Lochwinnoch,-76.53,45.47
8321,Lockerby,-81.12,45.385
8322,Lockharts Mill,-67.55,46.48
8323,Lockhartville,-64.22,45.08
8324,Locks Cove,-56.5,47.64
8325,Locks Harbour,-55.51,49.45
8326,Locksley,-77.13,45.72
8327,Lockstead,-65.86,46.77
8328,Lockston,-53.37,48.39
8329,Lockton,-79.86,43.91
8330,Lockwood,-105.01,51.65
8331,Lockwood Park,-81.3,42.86
8332,Locust Hill,-79.19,43.88
8333,Lodgeroom Corners,-77.37,44.47
8334,Lodi,-75.0,45.22
8335,Lo-Ellen,-80.98,46.45
8336,Logan's 6,-120.56,49.99
8337,Loganville,-63.02,45.61
8338,Loggieville,-65.37,47.07
8339,Logy Bay-Middle Cove-Outer Cove,-52.68,47.63
8340,Lohbiee 3,-123.94,51.46
8341,L'Oiseau-Bleu,-71.9,45.79
8342,Lokla 4,-122.71,50.37
8343,Lombardy,-76.09,44.82
8344,Lombrette,-70.75,47.16
8345,London Settlement,-66.02,45.65
8346,Londonderry Station,-63.57,45.45
8347,Lone Prairie,-121.38,55.56
8348,Lone Rock,-109.87,53.04
8349,Lonely Lake,-99.03,51.17
8350,Lonesome Cove,-56.54,51.4
8351,Long Bay,-82.4,45.8
8352,Long Beach,-53.33,47.52333333
8354,Long Body Creek,-96.64,51.76
8355,Long Branch,-79.53,43.59
8356,Long Cove,-55.17,47.05
8357,Long Creek,-65.76,45.87
8358,Long Grade,-59.2,47.61
8359,Long Harbour-Mount Arlington Heights,-53.78,47.44
8360,Long Hill,-60.68,46.11
8361,Long Island,-60.38,46.19
8362,Long Lake,-62.96,45.01
8364,Long Lake 58,-86.56,49.79
8365,Long Neck Island 9,-123.6,48.31
8366,Long Plain 6,-98.47,49.82
8367,Long Plain Madison 1,-97.2,49.88
8368,Long Reach,-66.08,45.47
8369,Long Sault 12,-94.06,48.64
8370,Long Settlement,-67.74,46.4
8371,Long Spruce Generating Station,-94.36,56.39
8372,Long Tunnel 5,-121.43,49.73
8373,Long Tunnel 5A,-121.44,49.73
8374,Longbeach,-117.08,49.61
8375,Longford,-79.34,44.67
8376,Longmoor,-79.75,43.36
8377,Longs Creek,-66.93,45.86
8378,Longtinville,-75.16,45.25
8379,Longue-Rive,-69.25,48.55
8380,Longwood,-81.57,42.84
8381,Loni Beach,-96.98,50.64
8382,Lonsdale,-77.12,44.27
8383,Looma,-113.25,53.35
8384,Loomis,-108.73,49.21
8385,Loon,-88.76,48.63
8386,Loon Lake 10,-121.98,51.85
8387,Loon Lake 235,-115.36,56.53
8388,Loon Lake 4,-121.33,51.06
8389,Loon Prairie 237,-115.39,56.82
8390,Loon Straits,-96.58,51.52
8391,Loran,-55.61,52.24
8392,Loranger,-75.07,46.43
8393,Lord Selkirk,-97.2,49.94
8394,Lord Selkirk - West Kildonan,-97.15,49.94
8395,Lords Mills,-75.62,44.71
8396,Lordsvale,-75.9,45.73
8397,Loree,-80.39,44.5
8398,L'Orée-des-Bois,-71.28,48.42
8399,Lorelei,-113.5,53.62
8400,Lorette,-96.87,49.73
